"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"25219","mu1[8304]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25220","mu1[8305]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25221","mu1[8306]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25222","mu1[8307]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25223","mu1[8308]",-1075.9736,-1075.97,0.0048989794855619,0,-1075.98,-1075.97,1.40044289782823,2.85383048723171,NA
"25224","mu1[8309]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25225","mu1[8310]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25226","mu1[8311]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25227","mu1[8312]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25228","mu1[8313]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25229","mu1[8314]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25230","mu1[8315]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25231","mu1[8316]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25232","mu1[8317]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25233","mu1[8318]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25234","mu1[8319]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25235","mu1[8320]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25236","mu1[8321]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25237","mu1[8322]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25238","mu1[8323]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25239","mu1[8324]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25240","mu1[8325]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25241","mu1[8326]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25242","mu1[8327]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25243","mu1[8328]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25244","mu1[8329]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25245","mu1[8330]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25246","mu1[8331]",-1795.558,-1795.56,0.00408248290463492,0,-1795.56,-1795.55,1.05286615093418,12.7940354147251,NA
"25247","mu1[8332]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25248","mu1[8333]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25249","mu1[8334]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25250","mu1[8335]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25251","mu1[8336]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25252","mu1[8337]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25253","mu1[8338]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25254","mu1[8339]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25255","mu1[8340]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25256","mu1[8341]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25257","mu1[8342]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25258","mu1[8343]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25259","mu1[8344]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25260","mu1[8345]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25261","mu1[8346]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25262","mu1[8347]",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25263","mu1[8348]",NA,NA,NA,NA,NA,NA,NA,NA,NA
